"c_table","c_facet","c_cid"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain","{""and"": [{""search"": [""FVB""], ""source"": ""*""}]}","recordedit"
"vocab:strain","{""and"": [{""search"": [""FVB""], ""source"": ""*""}]}","recordedit"
"vocab:strain","{""and"": [{""search"": [""FVB""], ""source"": ""*""}]}","recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage","{""and"": [{""search"": [""E11.5""], ""source"": ""*""}]}","recordedit"
"vocab:stage","{""and"": [{""search"": [""E11.5""], ""source"": ""*""}]}","recordedit"
"vocab:stage","{""and"": [{""search"": [""E11.5""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:experiment","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"isa:experiment",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"isa:replicate","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KE""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-50JC""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-50JC""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:replicate",NULL,"recordedit"
"isa:imaging_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KG""]}]}","recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:file_format","{""and"": [{""search"": [""tif""], ""source"": ""*""}]}","recordedit"
"vocab:file_format","{""and"": [{""search"": [""tif""], ""source"": ""*""}]}","recordedit"
"isa:imaging_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KG""]}]}","recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format","{""and"": [{""search"": [""TIF""], ""source"": ""*""}]}","recordedit"
"vocab:file_format","{""and"": [{""search"": [""TIF""], ""source"": ""*""}]}","recordedit"
"vocab:file_format","{""and"": [{""search"": [""TIF""], ""source"": ""*""}]}","recordedit"
"isa:imaging_data",NULL,"recordedit"
"isa:dataset",NULL,"recordedit"
"isa:thumbnail","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KJ""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:dataset",NULL,"recordedit"
"isa:dataset",NULL,"recordedit"
"isa:dataset",NULL,"recordedit"
"isa:thumbnail",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1WWG""]}]}","recordedit"
"isa:dataset",NULL,"recordedit"
"isa:dataset_chromosome","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:dataset_chromosome",NULL,"recordedit"
"isa:enhancer","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:enhancer",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:specimen",NULL,"recordedit"
"vocab:gene",NULL,"recordedit"
"vocab:gene",NULL,"recordedit"
"vocab:gene",NULL,"recordedit"
"vocab:gene",NULL,"recordedit"
"vocab:gene",NULL,"recordedit"
"vocab:gene","{""and"": [{""search"": [""panTro4""], ""source"": ""*""}]}","recordedit"
"vocab:gene","{""and"": [{""search"": [""panTro4""], ""source"": ""*""}]}","recordedit"
"vocab:gene","{""and"": [{""search"": [""panTro4""], ""source"": ""*""}]}","recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain",NULL,"recordedit"
"vocab:strain","{""and"": [{""search"": [""FVB""], ""source"": ""*""}]}","recordedit"
"vocab:strain","{""and"": [{""search"": [""FVB""], ""source"": ""*""}]}","recordedit"
"vocab:strain","{""and"": [{""search"": [""FVB""], ""source"": ""*""}]}","recordedit"
"vocab:mutation",NULL,"recordedit"
"vocab:mutation",NULL,"recordedit"
"vocab:mutation",NULL,"recordedit"
"vocab:mutation",NULL,"recordedit"
"vocab:mutation",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage",NULL,"recordedit"
"vocab:stage","{""and"": [{""search"": [""E11.5""], ""source"": ""*""}]}","recordedit"
"vocab:stage","{""and"": [{""search"": [""E11.5""], ""source"": ""*""}]}","recordedit"
"vocab:stage","{""and"": [{""search"": [""E11.5""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:experiment","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"vocab:experiment_type",NULL,"recordedit"
"isa:experiment",NULL,"recordedit"
"isa:dataset",NULL,"recordedit"
"isa:replicate","{""and"": [{""source"": ""RID"", ""choices"": [""1-50MM""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:dataset",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:replicate",NULL,"recordedit"
"isa:imaging_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-50MP""]}]}","recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy",NULL,"recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:anatomy","{""and"": [{""search"": [""head""], ""source"": ""*""}]}","recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:image_creation_device",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument",NULL,"recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:instrument","{""and"": [{""search"": [""Leica""], ""source"": ""*""}]}","recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format","{""and"": [{""search"": [""TIFF""], ""source"": ""*""}]}","recordedit"
"vocab:file_format","{""and"": [{""search"": [""TIFF""], ""source"": ""*""}]}","recordedit"
"vocab:file_format","{""and"": [{""search"": [""TIFF""], ""source"": ""*""}]}","recordedit"
"isa:imaging_data",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:thumbnail","{""and"": [{""source"": ""RID"", ""choices"": [""1-50MR""]}]}","recordedit"
"isa:dataset",NULL,"recordedit"
"isa:dataset",NULL,"recordedit"
"isa:thumbnail",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50DY""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50DY""]}]}","recordedit"
"isa:dataset_chromosome","{""and"": [{""source"": ""RID"", ""choices"": [""1-50DY""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E0""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E0""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50DW""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001049""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001048""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50DP""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50KP""]}]}","recordedit"
"isa:publication","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001049""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001044""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001045""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001044""]}]}","recordedit"
"isa:dataset_chromosome","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001044""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"isa:dataset_chromosome","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"isa:dataset_chromosome",NULL,"recordedit"
"isa:dataset_chromosome",NULL,"recordedit"
"isa:dataset_chromosome","{""and"": [{""source"": ""accession"", ""choices"": [""FB00001049""]}]}","recordedit"
"isa:replicate","{""and"": [{""source"": ""RID"", ""choices"": [""1-71JY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:replicate","{""and"": [{""source"": ""RID"", ""choices"": [""1-71JY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""search"": [""A6S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A6S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:replicate",NULL,"recordedit"
"isa:sequencing_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-71RY""]}]}","recordedit"
"vocab:paired_end_or_single_read",NULL,"recordedit"
"vocab:paired_end_or_single_read",NULL,"recordedit"
"vocab:paired_end_or_single_read",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:track_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-71RY""]}]}","recordedit"
"isa:pipeline",NULL,"recordedit"
"isa:pipeline",NULL,"recordedit"
"isa:pipeline",NULL,"recordedit"
"vocab:output_type",NULL,"recordedit"
"vocab:output_type",NULL,"recordedit"
"vocab:output_type",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:processed_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-71RY""]}]}","recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:track_data",NULL,"recordedit"
"isa:processed_data",NULL,"recordedit"
"isa:replicate","{""and"": [{""source"": ""RID"", ""choices"": [""1-71KG""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"vocab:species",NULL,"recordedit"
"isa:biosample",NULL,"recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample","{""and"": [{""search"": [""A8S""], ""source"": ""*""}, {""source"": ""dataset"", ""choices"": [""1-71HY""]}]}","recordedit"
"isa:biosample",NULL,"recordedit"
"vocab:species",NULL,"recordedit"
"isa:replicate",NULL,"recordedit"
"isa:processed_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-71SC""]}]}","recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:processed_data",NULL,"recordedit"
"isa:track_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-71SC""]}]}","recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:track_data",NULL,"recordedit"
"isa:sequencing_data","{""and"": [{""source"": ""RID"", ""choices"": [""1-71SC""]}]}","recordedit"
"vocab:paired_end_or_single_read",NULL,"recordedit"
"vocab:paired_end_or_single_read",NULL,"recordedit"
"vocab:paired_end_or_single_read",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""3RTA""]}]}","recordedit"
