"c_table","c_facet","c_cid"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A6""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A6""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A6""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A6""], ""source"": ""*""}]}","recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode","{""and"": [{""search"": [""syn""], ""source"": ""*""}]}","recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Segmentation Mode","{""and"": [{""search"": [""syn""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Segmentation Mode","{""and"": [{""search"": [""syn""], ""source"": ""*""}]}","recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Synapse:Person","{""and"": [{""search"": [""sap""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Image Region",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1EC2""]}]}","recordedit"
"Zebrafish:Image Region",NULL,"recordedit"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1ECM""]}]}","recordedit"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1ECM""]}]}","recordedit"
"Zebrafish:Cohort Analysis","{""and"": [{""source"": ""RID"", ""choices"": [""1DCP""]}]}","recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1CR4""]}]}","recordedit"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1CR4""]}]}","recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1CRG""]}]}","recordedit"
"Zebrafish:Behavior","{""and"": [{""source"": ""RID"", ""choices"": [""1CRG""]}]}","recordedit"
"Zebrafish:Cohort Analysis","{""and"": [{""source"": ""RID"", ""choices"": [""1640""]}]}","recordedit"
"Zebrafish:Cohort Analysis","{""and"": [{""source"": ""RID"", ""choices"": [""1640""]}]}","recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1H6""]}]}","recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1H6""]}]}","recordedit"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""ZX4""]}]}","recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1H6""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CKA""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CKA""]}]}","recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1RM""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CJT""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CJT""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CJJ""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CJJ""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CJP""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CJP""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""ZHE""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""ZHE""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""11YC""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""11YC""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""11YM""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""11YM""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""15VE""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""15VE""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""18ZC""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""18ZC""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CK2""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""CK2""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""19HM""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""19HM""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""19HJ""]}]}","recordedit"
"Zebrafish:Image Pair Study","{""and"": [{""source"": ""RID"", ""choices"": [""19HJ""]}]}","recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:DNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:RNA Construct",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Genetic Background",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Zebrafish:Subject",NULL,"recordedit"
"Zebrafish:Behavior",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:FScope",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step","{""and"": [{""search"": [""learn""], ""source"": ""*""}]}","recordedit"
"Synapse:Protocol Step","{""and"": [{""search"": [""learn""], ""source"": ""*""}]}","recordedit"
"Synapse:Protocol Step","{""and"": [{""search"": [""learn""], ""source"": ""*""}]}","recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
"Synapse:Protocol Step",NULL,"recordedit"
